gene_symbol	x	y	type
2810474O19Rik	8.878774642944336	-1.6277707815170288	DEG
2900052N01Rik	-5.261085033416748	3.72843599319458	DEG
2900057C01Rik	6.069432735443115	4.343596458435059	DEG
2900060N18Rik	-0.682612955570221	5.17924165725708	DEG
2900076A07Rik	2.3598875999450684	3.06805419921875	DEG
3300005D01Rik	-4.604246616363525	2.6146442890167236	DEG
3425401B19Rik	7.717339515686035	1.1356395483016968	DEG
3632451O06Rik	3.5652875900268555	-3.3245437145233154	DEG
3830417A13Rik	-5.612183570861816	0.20467041432857513	DEG
3930401B19Rik	-2.6410105228424072	7.956144332885742	DEG
4631405K08Rik	0.7043852806091309	2.6703763008117676	DEG
4632411P08Rik	-2.671462059020996	-3.1413233280181885	DEG
4732460I02Rik	5.352824687957764	-5.242648601531982	DNB
4833411C07Rik	-2.9738705158233643	7.9628520011901855	DEG
